,is_iceberg,not_iceberg,id,inc_angle,min1,max1,std1,med1,mean1,laplace1,sobel0_1,sobel1_1,kurtosis1,skewness1,min2,max2,std2,med2,mean2,laplace2,sobel0_2,sobel1_2,kurtosis2,skewness2
0,0,1,dfd5f913,43.9239,-38.211376,-0.21314899999999998,2.7645373237570503,-27.879921,-27.91104265706667,34.24444580078125,95.19071197509766,105.08796691894531,15.62562594263381,1.9487619400024414,-41.135918,-11.252153,2.381283921352493,-30.007847,-29.910117392177778,37.488643646240234,98.89215850830078,89.72064971923828,5.305906613513541,0.46570658683776855
1,0,1,e25388fd,38.1562,-23.125309,12.570409,3.1425316110443453,-13.654199,-13.566553714133333,27.87013816833496,117.21133422851562,126.77855682373047,14.50114473185598,2.323744297027588,-34.765831,0.044052,2.9340978650001746,-25.48613,-25.359106348977775,28.627317428588867,115.4175033569336,97.52490234375,15.128946248751532,2.331270933151245
2,1,0,58b2aaa0,45.2859,-33.391197,-9.918477,2.2239054167298296,-22.935019,-23.05369774933333,33.65288162231445,89.70709228515625,76.99004364013672,1.4913504041968757,0.04191173240542412,-34.148819,-15.605879,2.125274771293807,-24.606205,-24.83982106524444,35.274166107177734,88.97374725341797,73.04594421386719,0.5084060303902023,-0.40455305576324463
3,0,1,4cfc3a18,43.8306,-32.204136,4.795627,2.5662326193148473,-23.303238,-23.21077097528889,27.591182708740234,91.37862396240234,95.00432586669922,20.2746927804621,2.283212900161743,-39.564053,-5.554516,2.389979595922096,-29.549923,-29.567913418666667,35.258182525634766,103.98877716064453,83.68916320800781,12.356155304519278,1.0895923376083374
4,0,1,271f93f4,35.6256,-35.010487,-6.956036,2.3052875217794697,-25.206615,-25.280029128355558,38.29119873046875,95.08438873291016,77.27215576171875,3.9315875370288493,0.2433866262435913,-40.276115,-9.434006,2.2762438970368737,-25.466921,-25.627725975644445,39.314605712890625,96.58521270751953,77.32569122314453,3.096364602827104,-0.05603478476405144
5,1,0,b51d18b5,36.9034,-29.715744,3.86404,3.3246742285323183,-20.317537,-19.999607633955556,34.08652114868164,92.1898193359375,88.3004379272461,10.39629149425515,2.182699203491211,-37.674038,-9.127563,2.770906804330969,-27.110518,-27.098203694577773,37.969696044921875,88.26020050048828,84.62535858154297,6.276587996549544,1.3536880016326904
6,1,0,31da1a04,34.4751,-35.926098,-10.350115,2.6544382972698175,-25.294981,-25.18038199057778,41.793724060058594,80.99366760253906,87.09260559082031,2.1011401888494294,0.4727824926376343,-36.842224,-17.439672,2.1437968651818347,-26.383532,-26.56623127022222,44.2016487121582,78.96902465820312,68.23759460449219,0.5262873966424819,-0.31226107478141785
7,0,1,56929c16,41.1769,-37.300262,-13.997641999999999,2.4120184006106102,-26.735996,-26.969428300266667,30.298233032226562,86.40763092041016,88.96562194824219,1.8807167152334356,0.20787450671195984,-37.297852,-22.108116,2.114238742441487,-27.758291,-27.980121743466665,31.850038528442383,88.24727630615234,79.2840347290039,0.08143191716838061,-0.34825459122657776
8,0,1,525ab75c,35.7829,-25.732534,28.578884,5.194528128325103,-16.560719,-15.603796853866665,38.29697036743164,132.59718322753906,173.66920471191406,17.483106090057728,3.3619842529296875,-34.251976,-1.074512,2.6938845699656095,-23.580057,-23.624271828266668,34.23011779785156,93.29113006591797,97.14168548583984,11.002816432232105,1.688649296760559
9,0,1,192f56eb,43.3007,-36.0653,-5.606295,2.334277763686892,-25.047281,-25.28922195822222,38.84075927734375,97.86419677734375,85.07197570800781,5.018628008962965,0.3592902719974518,-38.248188,-15.594248,2.1928799129513195,-28.704334,-28.826078185777774,35.4632682800293,95.42833709716797,75.17313385009766,1.2783334240062532,-0.3158815801143646
